Name	Description	Link	Google Link
NATIONAL FOOD BANK DAY – First Friday in September | National ...	"When you wake up on the first Friday in September make a commitment for 
National Food Bank Day to contribute to the cause that believes no one should 
go to ..."	https://nationaldaycalendar.com/national-food-bank-day-first-friday-in-september/	http://www.google.com/url?q=https://nationaldaycalendar.com/national-food-bank-day-first-friday-in-september/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFgg1MAU&usg=AFQjCNHV9hJLV_DCSHkB9oAVRr_ex9EHwA
Food Banks Canada - National Conference 2017	"Our Kitchen Creations program provides grants and resources to teach food bank 
recipients how to plan and prepare nutritious meals for their families."	https://www.foodbankscanada.ca/NationalConference2017.aspx	http://www.google.com/url?q=https://www.foodbankscanada.ca/NationalConference2017.aspx&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCCQwAw&usg=AFQjCNEIXV_NxnXTk3TK19xkxbtU7ibNMA
Food Banks Canada - Organization	"Food Banks Canada is a charity that is made up of thousands of ... Food Banks 
Canada is the national charitable organization representing the food bank ..."	https://www.foodbankscanada.ca/About-Us/Organization.aspx	http://www.google.com/url?q=https://www.foodbankscanada.ca/About-Us/Organization.aspx&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCCkwBA&usg=AFQjCNEEK4OarR9rr7u91OdZCOgYalMpCw
U.S. Hunger Relief Organization | Feeding America®	"... Feeding America is a hunger organization with a nationwide network of food 
banks feeding the hungry. ... Make a secure donation via credit card or PayPal."	http://www.feedingamerica.org/	http://www.google.com/url?q=http://www.feedingamerica.org/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFggZMAE&usg=AFQjCNE9fvQUL49ZStnsTpxOQ1Gol84YiQ
Food bank - Wikipedia	"A food bank or foodbank is a non-profit, charitable organization that distributes 
food to those ..... We need ongoing national survey monitoring to understand the 
scale of food insecurity, who is at risk, and the implications for child and adult 
health ..."	https://en.wikipedia.org/wiki/Food_bank	http://www.google.com/url?q=https://en.wikipedia.org/wiki/Food_bank&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCB8wAQ&usg=AFQjCNGKUjgUiiLF13JQIiyZakEqT3PLzA
Fighting Hunger in Australia - Foodbank	"Foodbank is Australia's largest food relief organisation, providing 60 million 
meals a year to over 2400 charities and 1000 schools around the country."	https://www.foodbank.org.au/	http://www.google.com/url?q=https://www.foodbank.org.au/&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCEcwCQ&usg=AFQjCNFWVp2Ai8gO-WQjVrKhJZ65nkqJxA
U.S. Hunger Relief Organization | Feeding America®	"Find Your Local Food Bank GO ... hunger-relief organization, working to connect 
people with food and end ... Make a secure donation via credit card or PayPal."	http://www.feedingamerica.org/	http://www.google.com/url?q=http://www.feedingamerica.org/&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFggTMAA&usg=AFQjCNE9fvQUL49ZStnsTpxOQ1Gol84YiQ
Find Your Local Food Bank | Feeding America® Food Banks	"The Feeding America nationwide network of food banks and partner food 
pantries distributes 4 billion meals a year. Find a food bank near you."	http://www.feedingamerica.org/find-your-local-foodbank/	http://www.google.com/url?q=http://www.feedingamerica.org/find-your-local-foodbank/&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFggZMAE&usg=AFQjCNFpmFXuxFSkax-Kd57OCEyiZ2Gh9w
The Food Bank Singapore	"Welcome to The Food Bank Singapore! ... there are some people out there who 
have not eaten because they simply do not have enough to put food on the table."	http://www.foodbank.sg/	http://www.google.com/url?q=http://www.foodbank.sg/&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFggqMAQ&usg=AFQjCNEzzqSOKdQTdB2k_x8xj8cNcNxLUw
NEW DAY PROCLAMATION| NATIONAL FOOD BANK DAY – First ...	"3 days ago ... When you wake up on the first Friday in September make a commitment for 
National Food Bank Day to contribute to the cause that believes no ..."	https://nationaldaycalendar.com/2017/08/30/new-day-proclamation-national-food-bank-day-first-friday-in-september/	http://www.google.com/url?q=https://nationaldaycalendar.com/2017/08/30/new-day-proclamation-national-food-bank-day-first-friday-in-september/&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFggwMAU&usg=AFQjCNHvoTSi8QHQKbORQJNmk2yHReLidA
