Name	Description	Link	Google Link
India Food Banking Network	"IFBN helps corporates to prioritize food security and nutrition and to use the ... 
The India Food Banking Network (IFBN) is evolving an ecosystem for food 
security ..."	https://www.indiafoodbanking.org/	http://www.google.com/url?q=https://www.indiafoodbanking.org/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFggTMAA&usg=AFQjCNEvRfFjX5dwHF1fG_xNfLmZZjF9TQ
The Global FoodBanking Network – Empowering the World to ...	"Our mission is to alleviate global hunger by developing food banks in 
communities where they are needed and by supporting food banks where they 
exist."	https://www.foodbanking.org/	http://www.google.com/url?q=https://www.foodbanking.org/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFggYMAE&usg=AFQjCNG7_oLI0-PH37hhdlTbZAX6oe_TSA
U.S. Hunger Relief Organization | Feeding America®	"1 in 8 people struggle with hunger in the U.S. Feeding America is a hunger 
organization with a nationwide network of food banks feeding the hungry."	http://www.feedingamerica.org/	http://www.google.com/url?q=http://www.feedingamerica.org/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFggeMAI&usg=AFQjCNE9fvQUL49ZStnsTpxOQ1Gol84YiQ
Food bank - Wikipedia	"A food bank or foodbank is a non-profit, charitable organization that distributes 
food to those ..... We need ongoing national survey monitoring to understand the 
scale of food insecurity, who is at risk, and the implications for child and adult 
health ..."	https://en.wikipedia.org/wiki/Food_bank	http://www.google.com/url?q=https://en.wikipedia.org/wiki/Food_bank&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFggpMAM&usg=AFQjCNGKUjgUiiLF13JQIiyZakEqT3PLzA
September 1, 2017 – NATIONAL FOOD BANK DAY – NATIONAL ...	"1 day ago ... SEPTEMBER 1, 2017 | NATIONAL FOOD BANK DAY | NATIONAL CHICKEN 
BOY DAY | NATIONAL NO RHYME (NOR REASON) DAY ..."	https://nationaldaycalendar.com/2017/08/31/september-1-2017-national-food-bank-day-national-chicken-boy-day-national-no-rhyme-nor-reason-day-national-lazy-moms-day/	http://www.google.com/url?q=https://nationaldaycalendar.com/2017/08/31/september-1-2017-national-food-bank-day-national-chicken-boy-day-national-no-rhyme-nor-reason-day-national-lazy-moms-day/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFggvMAQ&usg=AFQjCNHd8DmQ7w9z0L2rQZd-VhLu_ybvXg
Regional Food Bank: Homepage	"Fight Hunger · I NEED FOOD. NEWS FEED. If you want to help with Hurricane 
Harvey relief efforts, please make financial donations to @FeedingAmerica at."	https://www.regionalfoodbank.org/	http://www.google.com/url?q=https://www.regionalfoodbank.org/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFgg6MAY&usg=AFQjCNGLpZWrouHhJ9h4VpnVw3OILmGu2w
Fighting Hunger in Australia - Foodbank	"Foodbank is Australia's largest food relief organisation, providing 60 million 
meals a year to over 2400 charities and 1000 schools around the country."	https://www.foodbank.org.au/	http://www.google.com/url?q=https://www.foodbank.org.au/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFghAMAc&usg=AFQjCNFWVp2Ai8gO-WQjVrKhJZ65nkqJxA
The Trussell Trust - Stop UK Hunger	"Our network of foodbanks provides emergency food and support to people in ... 4 
in 5 foodbank users go hungry multiple times a year - with price rises and ..."	https://www.trusselltrust.org/	http://www.google.com/url?q=https://www.trusselltrust.org/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFghFMAg&usg=AFQjCNE1L16fxxHrf8kRVSiZMncPVfX6GQ
Food Banks Canada - Home	"Food Banks represents the food banking community in Canada and is here for 
Canadians in need."	https://www.foodbankscanada.ca/	http://www.google.com/url?q=https://www.foodbankscanada.ca/&sa=U&ved=0ahUKEwiM0teCtIfWAhUBQ48KHSGQA24QFghKMAk&usg=AFQjCNGzEZLPBtOiWfPoyiWlJiVxtYCfYg
San Antonio Food Bank: Home	"Founded in 1980, the San Antonio Food Bank serves one of the largest service 
areas in Southwest Texas. Our focus is for clients to have food for today but to ..."	https://safoodbank.org/	http://www.google.com/url?q=https://safoodbank.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCBMwAA&usg=AFQjCNHfS3oGRXasYPhUmft6QP3DI_WAXg
