State	Search Term	Page Number	Index of Search within the Page	Number of Times Domain Appeared within state	Title	Description	Link	Google Link
New Jersey	food bank	1	1	1	Community FoodBank of New Jersey - Official Site	CFBNJ is a food bank with facilities in Hillside and EHT feeding almost 1 million people each year throughout NJ.	http://www.cfbnj.org/	www.cfbnj.org
New Jersey	food bank	1	2	1	New Jersey Food Banks | Food Banks in NJ	View all New Jersey food banks in your area and donate to those in need. There are tons of food banks in NJ to visit today. Help the hungry today by donating to a food bank near you.	http://www.foodbanks.net/state/nj.html	www.foodbanks.net/state/nj.html
New Jersey	food bank	1	3	1	New Jersey food pantries and banks. - Need Help Paying Bills	Pantries and food banks operate in New Jersey. These centers can provide free food, groceries, and general support to people who need help.	http://www.needhelppayingbills.com/html/new_jersey_food_banks.html	www.needhelppayingbills.com/html/new_jersey_food_banks.html
New Jersey	food bank	1	4	2	Help - Community Food Bank of New Jersey	CFBNJ is a food bank with facilities in Hillside and EHT feeding almost 1 million people each year throughout NJ.	http://www.cfbnj.org/help/	www.cfbnj.org/help
New Jersey	food bank	1	5	1	New Jersey Food Banks | New Jersey Food Banks	NORWESCAP Food Bank - Phillipsburg Phillipsburg, NJ - 08865 (908) 454-4322 The Northwest New Jersey Community Action Partnership (NORWESCAP) Food Bank collects and supplies food to more than one hundred and twenty hunger-relief programs and agencies in Hunterdon, Sussex and Warren counties.	http://www.usfoodbanks.org/state/new_jersey	www.usfoodbanks.org/state/new_jersey
New Jersey	food bank	1	6	1	The Community FoodBank of New Jersey - Home | Facebook	The Community FoodBank of New Jersey. 6,604 likes · 107 talking about this · 2,201 were here. The Community FoodBank of New Jersey is the state's largest...	https://www.facebook.com/communityfoodbankofnj	https://www.facebook.com/communityfoodbankofnj
New Jersey	food bank	1	7	1	Best Food Banks in New Jersey with Reviews - YP.com	Find 41 listings related to Food Banks in on YP.com. See reviews, photos, directions, phone numbers and more for the best Food Banks in NJ.	https://www.yellowpages.com/nj/food-banks	https://www.yellowpages.com/nj/food-banks
New Jersey	food bank	1	8	1	How We Work | Food Bank of South Jersey	Food should not be wasted when hungry people are in our midst. This is the core of the Food Bank of South Jersey's mission. Learn more about how we work.	http://foodbanksj.org/how-we-work/	foodbanksj.org/how-we-work
New Jersey	food bank	1	9	1	Local Pantries - Rutgers Against Hunger	Rutgers Against Hunger works in partnership with the New Jersey Federation of Food Banks to assist those in need. The New Jersey Federation of Food Banks provides goods and services to over 1,500 pantries statewide each year.	http://rah.rutgers.edu/get-involved/local-pantries/	rah.rutgers.edu/get-involved/local-pantries
New Jersey	food bank	1	10	1	COMMUNITY FOOD BANK OF NEW JERSEY INC - …	COMMUNITY FOOD BANK OF NEW JERSEY INC was founded in 1982 and generated a revenue of £74m in 2016. This company is working within the Other Individual and Family Services industry. It owns 1 subsidiaries.	https://www.companybooknetworking.com/community-food-bank-of-new-jersey-inc#!	https://www.companybooknetworking.com/community-food-bank-of-new...
New Jersey	food bank	2	1	1	The food bank cooking school | New Food Economy	Can a New Jersey food bank's free culinary education program create a community of cooks who don't need food banks?	https://newfoodeconomy.com/food-bank-cooking-school/	https://newfoodeconomy.com/food-bank-cooking-school
New Jersey	food bank	2	2	2	New Jersey Food Banks | New Jersey Food Banks	New Jersey Food Banks subtitle. He's goin' everywhere, B.J. McKay and his best friend Bear. He just keeps on movin', ladies keep improvin', every day is better than the last.	http://www.usfoodbanks.org/state/new_jersey	www.usfoodbanks.org/state/new_jersey
New Jersey	food bank	2	3	1	Community Food Bank of New Jersey - Feeding America	Photos associated with client stories feature the actual person referenced. Other images are for illustrative purposes only.	http://www.feedingamerica.org/find-your-local-foodbank/community-foodbank-of-new-jersey.html	www.feedingamerica.org/.../community-foodbank-of-new-jersey.html
New Jersey	food bank	2	4	2	Newark Food Banks | Food Banks in Newark NJ	View all Newark food banks in your area and donate to those in need. There are tons of food banks in Newark, NJ to visit today. Help the hungry today by donating to a food bank near you.	http://www.foodbanks.net/newark-nj/	www.foodbanks.net › NJ
New Jersey	food bank	2	5	1	Food Bank of South Jersey 1501 John Tipton Blvd Pennsauken, NJ Food ...	Get directions, reviews and information for Food Bank of South Jersey in Pennsauken, NJ.	https://www.mapquest.com/us/new-jersey/banks-pennsauken/food-bank-of-south-jersey-265347752	https://www.mapquest.com/us/new-jersey/banks-pennsauken/food-bank...
New Jersey	food bank	2	6	2	Newark, NJ Food Banks - YP.com | The Real Yellow Pages	Find 43 listings related to Food Banks in Newark on YP.com. See reviews, photos, directions, phone numbers and more for the best Food Banks in Newark, NJ.	https://www.yellowpages.com/newark-nj/food-banks	https://www.yellowpages.com/newark-nj/food-banks
New Jersey	food bank	2	7	2	COMMUNITY FOOD BANK OF NEW JERSEY INC - …	COMMUNITY FOOD BANK OF NEW JERSEY INC was founded in 1982 and generated a revenue of £74m in 2016. This company is working within the Other Individual and Family Services industry. It owns 1 subsidiaries.	https://www.companybooknetworking.com/community-food-bank-of-new-jersey-inc#!	https://www.companybooknetworking.com/community-food-bank-of-new...
